word,weight
later,4560.0
alter,4560.0
alert,4560.0
arose,4536.0
irate,4512.0
stare,4510.0
arise,4452.0
raise,4452.0
learn,4406.0
renal,4406.0
snare,4356.0
saner,4356.0
steal,4329.0
least,4329.0
slate,4329.0
stale,4329.0
crate,4318.0
trace,4318.0
react,4318.0
cater,4318.0
clear,4308.0
store,4286.0
loser,4276.0
aisle,4271.0
atone,4271.0
teary,4266.0
alone,4261.0
adore,4261.0
scare,4258.0
early,4256.0
relay,4256.0
layer,4256.0
trade,4235.0
tread,4235.0
leant,4235.0
opera,4234.0
heart,4230.0
hater,4230.0
earth,4230.0
taper,4208.0
pearl,4198.0
paler,4198.0
tenor,4192.0
aider,4177.0
alien,4177.0
share,4170.0
shear,4170.0
crane,4164.0
tamer,4157.0
grate,4152.0
great,4152.0
parse,4148.0
spear,4148.0
spare,4148.0
realm,4147.0
regal,4142.0
glare,4142.0
lager,4142.0
large,4142.0
cleat,4137.0
eclat,4137.0
snore,4132.0
baler,4112.0
blare,4112.0
yearn,4112.0
inert,4108.0
inter,4108.0
stern,4106.0
stole,4105.0
liner,4098.0
smear,4097.0
caste,4087.0
route,4084.0
outer,4084.0
scale,4077.0
saute,4077.0
after,4071.0
feral,4061.0
flare,4061.0
delta,4054.0
dealt,4054.0
taker,4051.0
lathe,4049.0
resin,4048.0
rinse,4048.0
risen,4048.0
siren,4048.0
water,4037.0
yeast,4035.0
ratio,4034.0
score,4034.0
roast,4032.0
pleat,4027.0
plate,4027.0
leapt,4027.0
petal,4027.0
rouse,4024.0
solar,4022.0
islet,4021.0
ocean,4019.0
canoe,4019.0
afire,4013.0
safer,4011.0
trice,4010.0
crest,4008.0
other,4006.0
stead,4004.0
ramen,4003.0
older,4001.0
relic,4000.0
haste,3999.0
trail,3998.0
anger,3998.0
trial,3998.0
range,3998.0
ideal,3996.0
avert,3994.0
enact,3993.0
shale,3989.0
leash,3989.0
trope,3984.0
lance,3983.0
cedar,3983.0
clean,3983.0
reach,3978.0
swear,3977.0
paste,3977.0
metal,3976.0
lapse,3967.0
onset,3961.0
stone,3961.0
caper,3956.0
recap,3956.0
stair,3948.0
aside,3946.0
horse,3946.0
shore,3946.0
bleat,3941.0
table,3941.0
crone,3940.0
anode,3936.0
metro,3933.0
ready,3931.0
inlet,3927.0
tried,3927.0
steam,3926.0
prose,3924.0
spore,3924.0
poser,3924.0
their,3922.0
stage,3921.0
sepia,3919.0
email,3918.0
idler,3917.0
agile,3913.0
cream,3905.0
payer,3904.0
repay,3904.0
noise,3903.0
grace,3900.0
tripe,3900.0
laden,3900.0
heard,3895.0
baste,3891.0
beast,3891.0
peril,3890.0
plier,3890.0
fetal,3890.0
argue,3890.0
acute,3885.0
extra,3878.0
arson,3878.0
sonar,3878.0
stein,3877.0
plane,3873.0
penal,3873.0
drape,3873.0
panel,3873.0
brace,3870.0
relax,3868.0
shire,3862.0
entry,3862.0
drone,3857.0
nicer,3856.0
train,3854.0
close,3853.0
heron,3852.0
sedan,3850.0
remit,3849.0
ovate,3849.0
merit,3849.0
timer,3849.0
gayer,3848.0
forte,3847.0
urine,3846.0
ashen,3845.0
tiger,3844.0
nurse,3844.0
louse,3843.0
snarl,3842.0
terra,3841.0
eater,3841.0
treat,3841.0
spire,3840.0
raven,3840.0
feast,3840.0
actor,3840.0
sober,3838.0
meant,3832.0
trend,3831.0
coral,3830.0
prone,3830.0
false,3830.0
carol,3830.0
agent,3827.0
cause,3825.0
sauce,3825.0
hotel,3825.0
dream,3822.0
steak,3820.0
stake,3820.0
skate,3820.0
utile,3819.0
farce,3819.0
angle,3817.0
angel,3817.0
harem,3817.0
glean,3817.0
grade,3817.0
tribe,3814.0
wrote,3813.0
tower,3813.0
valet,3813.0
alike,3812.0
cadet,3812.0
teach,3807.0
cheat,3807.0
recut,3806.0
waste,3806.0
truce,3806.0
sweat,3806.0
lower,3803.0
decal,3802.0
creak,3799.0
haute,3797.0
leach,3797.0
cruel,3796.0
ulcer,3796.0
ultra,3794.0
grape,3790.0
miser,3789.0
bread,3787.0
debar,3787.0
beard,3787.0
rehab,3782.0
erase,3781.0
royal,3778.0
those,3775.0
place,3775.0
ethos,3775.0
style,3775.0
anime,3774.0
goner,3774.0
diner,3773.0
voter,3770.0
trove,3770.0
overt,3770.0
slice,3769.0
suite,3769.0
refit,3763.0
stave,3763.0
lover,3760.0
cameo,3760.0
decor,3759.0
credo,3759.0
clone,3759.0
tonal,3757.0
talon,3757.0
alive,3755.0
chore,3754.0
filer,3753.0
swore,3753.0
rifle,3753.0
slave,3753.0
sower,3753.0
flier,3753.0
salve,3753.0
pesto,3753.0
worse,3753.0
motel,3752.0
oaken,3752.0
delay,3750.0
chase,3747.0
tilde,3746.0
ripen,3746.0
curse,3746.0
borne,3744.0
slope,3743.0
crave,3742.0
carve,3742.0
lithe,3741.0
gamer,3739.0
weary,3733.0
write,3729.0
retch,3728.0
wrest,3727.0
taken,3726.0
space,3725.0
camel,3724.0
death,3724.0
polar,3720.0
slept,3717.0
spelt,3717.0
ankle,3716.0
drake,3716.0
pause,3715.0
verso,3710.0
scone,3709.0
amber,3709.0
crept,3706.0
barge,3704.0
serif,3703.0
artsy,3702.0
adept,3702.0
stray,3702.0
satyr,3702.0
smote,3702.0
radio,3699.0
salon,3697.0
exalt,3697.0
erupt,3696.0
poise,3695.0
miner,3695.0
pedal,3692.0
plead,3692.0
heist,3691.0
reign,3690.0
cable,3689.0
arena,3687.0
slide,3686.0
rivet,3686.0
acorn,3686.0
scent,3683.0
skier,3683.0
meaty,3682.0
matey,3682.0
liver,3676.0
olden,3676.0
cried,3675.0
unite,3675.0
cider,3675.0
untie,3675.0
unset,3673.0
triad,3673.0
mealy,3672.0
slant,3671.0
horde,3671.0
molar,3669.0
spite,3669.0
moral,3669.0
wiser,3669.0
trash,3666.0
sneak,3666.0
snake,3666.0
smelt,3666.0
rogue,3666.0
rouge,3666.0
amuse,3664.0
shade,3664.0
brine,3660.0
latte,3660.0
elate,3660.0
spiel,3659.0
usage,3659.0
navel,3659.0
owner,3659.0
octal,3659.0
frame,3658.0
dance,3658.0
usher,3658.0
nosey,3657.0
price,3648.0
facet,3648.0
tapir,3646.0
strap,3644.0
reply,3644.0
abort,3644.0
spade,3642.0
adobe,3642.0
abode,3642.0
